"","value_names","annotator_scores","p1","p10","p2","p3","p4","p5","p6","p9","mean","se_mean","mean_dist","se_mean_dist","mean_abs_dist"
"1","responsibility",80,100,100,100,65,77,95,89,0,78.25,12.8694385650498,-1.75,12.8694385650498,22.75
"2","compassion",90,100,100,100,85,100,70,74,43,84,7.8272157324587,-6,7.8272157324587,16
"3","justice",70,75,50,75,62,98,84,50,95,73.625,7.01874312836998,3.625,7.01874312836998,15.625
"4","animal welfare",80,100,100,100,84,100,99,100,4,85.875,12.6788229351312,5.875,12.6788229351312,24.875
"5","family harmony",60,70,0,75,67,68,11,99,7,49.625,14.2197584582947,-10.375,14.2197584582947,30.125
"6","assertiveness",70,5,100,75,72,74,89,100,73,73.5,11.3766678526083,3.5,11.3766678526083,19.75
"7","lack of empathy",70,0,0,0,0,92,18,0,43,19.125,12.5445125819367,-50.875,12.5445125819367,56.375
"8","control",60,5,97,25,0,53,83,0,7,33.75,14.7727686598535,-26.25,14.7727686598535,41.25
"9","disregard for family bonds",80,5,100,52,0,15,32,0,16,27.5,12.9236375747413,-52.5,12.9236375747413,57.5
"10","selfishness",50,0,0,25,0,35,2,7,33,12.75,5.87540706362251,-37.25,5.87540706362251,37.25
"11","inflexibility",40,0,0,27,38,38,18,0,76,24.625,9.96511773280032,-15.375,9.96511773280032,24.375
