"","value_names","annotator_scores","p1","p2","p3","p4","p5","p6","p8","mean","se_mean","mean_dist","se_mean_dist","mean_abs_dist"
"1","loyalty",80,76,4,45,90,61,23,70,52.7142857142857,12.4893605514505,-27.2857142857143,12.4893605514505,30.1428571428571
"2","compassion",90,73,19,100,90,89,93,70,76.2857142857143,11.2094064807551,-13.7142857142857,11.2094064807551,17.4285714285714
"3","supportiveness",90,82,90,81,100,100,84,70,86.7142857142857,4.42665088924326,-3.28571428571429,4.42665088924326,9
"4","empathy",80,74,82,100,100,79,100,75,87.1428571428571,5.02454293901761,7.14285714285714,5.02454293901761,10.5714285714286
"5","commitment",80,61,10,80,61,53,59,70,56.2857142857143,9.06064225622213,-23.7142857142857,9.06064225622213,23.7142857142857
"6","kindness",90,20,37,90,90,74,91,70,67.4285714285714,11.5466617178038,-22.5714285714286,11.5466617178038,22.8571428571429
"7","responsibility",70,22,23,78,100,78,29,60,55.7142857142857,12.7947782007485,-14.2857142857143,12.7947782007485,27.4285714285714
"8","neglect",0,97,86,0,0,29,8,10,32.8571428571429,16.8760655160374,32.8571428571429,16.8760655160374,32.8571428571429
"9","indifference",0,85,82,0,0,56,21,30,39.1428571428571,14.6257546271192,39.1428571428571,14.6257546271192,39.1428571428571
"10","selfishness",0,100,95,11,18,59,11,20,44.8571428571429,16.1476323882491,44.8571428571429,16.1476323882491,44.8571428571429
