"","value_names","annotator_scores","p1","p2","p3","p4","p5","p6","p7","p8","p9","mean","se_mean","mean_dist","se_mean_dist","mean_abs_dist"
"1","honesty",90,70,19,7,100,0,88,100,100,70,61.5555555555556,14.7119329872802,-28.4444444444444,14.7119329872802,35.1111111111111
"2","autonomy",80,29,21,56,100,10,51,96,90,58,56.7777777777778,11.7164118037715,-23.2222222222222,11.7164118037715,33.4444444444444
"3","respect",70,74,22,13,100,15,83,85,85,55,59.1111111111111,12.0356819037763,-10.8888888888889,12.0356819037763,28
"4","courage",80,27,68,13,100,0,66,100,75,73,58,12.8427995390413,-22,12.8427995390413,30.8888888888889
"5","self-respect",80,35,31,7,100,20,100,67,90,62,56.8888888888889,12.4630007979174,-23.1111111111111,12.4630007979174,34.2222222222222
"6","personal growth",70,35,59,13,100,0,92,81,95,84,62.1111111111111,13.2646669347138,-7.88888888888889,13.2646669347138,30.5555555555556
"7","commitment",70,75,59,4,100,20,10,9,65,50,43.5555555555556,12.0896535195274,-26.4444444444444,12.0896535195274,34.2222222222222
"8","empathy",60,62,68,98,100,60,100,42,70,65,73.8888888888889,7.31531878245158,13.8888888888889,7.31531878245158,17.8888888888889
"9","loyalty",70,66,68,100,100,10,91,8,65,64,63.5555555555556,12.1141847526865,-6.44444444444444,12.1141847526865,24.4444444444444
"10","patience",50,69,89,15,100,100,54,94,75,39,70.5555555555556,10.4599102396829,20.5555555555556,10.4599102396829,30.7777777777778
"11","communication",60,29,17,4,100,10,98,73,75,45,50.1111111111111,13.2458064642697,-9.88888888888889,13.2458064642697,33.4444444444444
