"","value_names","annotator_scores","p1","p10","p11","p3","p4","p5","p6","p7","p8","p9","mean","se_mean","mean_dist","se_mean_dist","mean_abs_dist","values_missing"
"1","altruism",80,70,43,92,80,75,94,50,96,51,87,73.8,6.56928881657334,-6.2,6.56928881657334,16,"Thoughtfulness,no,no,not really,No,No,Decency"
"2","compassion",90,95,84,100,100,0,99,100,100,31,91,80,11.7189305541646,-10,11.7189305541646,21,"Thoughtfulness,no,no,not really,No,No,Decency"
"3","responsibility",70,61,55,0,67,50,24,80,100,100,86,62.3,10.7117680757493,-7.7,10.7117680757493,24.9,"Thoughtfulness,no,no,not really,No,No,Decency"
"4","empathy",90,81,81,100,100,93,99,100,100,42,91,88.7,6.02474321977273,-1.3,6.02474321977273,11.9,"Thoughtfulness,no,no,not really,No,No,Decency"
"5","integrity",70,93,61,62,93,100,96,80,100,14,86,78.5,8.92250587621612,8.5,8.92250587621612,23.1,"Thoughtfulness,no,no,not really,No,No,Decency"
"6","community",60,71,43,80,90,57,99,100,100,9,91,74,9.96413320953127,14,9.96413320953127,28.2,"Thoughtfulness,no,no,not really,No,No,Decency"
"7","respect for others",80,68,54,68,84,69,96,50,100,50,89,72.8,6.20593105399291,-7.2,6.20593105399291,17,"Thoughtfulness,no,no,not really,No,No,Decency"
"8","punctuality",70,45,56,0,19,1,44,0,10,100,57,33.2,10.9913546273064,-36.8,10.9913546273064,42.8,"Thoughtfulness,no,no,not really,No,No,Decency"
"9","professional responsibility",60,35,53,0,80,2,22,8,50,35,83,36.8,9.97379281967881,-23.2,9.97379281967881,31.8,"Thoughtfulness,no,no,not really,No,No,Decency"
"10","self-interest",50,19,29,0,36,0,2,8,0,72,3,16.9,7.78007902463912,-33.1,7.78007902463912,37.5,"Thoughtfulness,no,no,not really,No,No,Decency"
