"","value_names","annotator_scores","p1","p2","p3","p4","p5","p6","p7","p8","p9","mean","se_mean","mean_dist","se_mean_dist","mean_abs_dist","values_missing"
"1","responsibility",80,13,0,38,0,20,11,5,25,0,12.4444444444444,4.66071048470319,-67.5555555555556,4.66071048470319,67.5555555555556,"Reckless ,Inflexible,Selfishness,No,Selfish. Frugal. Uncaring"
"2","independence",70,62,16,0,79,20,50,75,72,40,46,10.159662888108,-24,10.159662888108,27.5555555555556,"Reckless ,Inflexible,Selfishness,No,Selfish. Frugal. Uncaring"
"3","self-reliance",70,51,40,32,40,55,50,51,60,50,47.6666666666667,3.06696103659632,-22.3333333333333,3.06696103659632,22.3333333333333,"Reckless ,Inflexible,Selfishness,No,Selfish. Frugal. Uncaring"
"4","tough love",60,29,0,0,37,0,10,20,16,40,16.8888888888889,5.58861690303503,-43.1111111111111,5.58861690303503,43.1111111111111,"Reckless ,Inflexible,Selfishness,No,Selfish. Frugal. Uncaring"
"5","financial prudence",80,0,20,43,39,58,70,40,96,90,50.6666666666667,11.0722061938893,-29.3333333333333,11.0722061938893,35.1111111111111,"Reckless ,Inflexible,Selfishness,No,Selfish. Frugal. Uncaring"
"6","autonomy",70,84,82,53,77,51,40,50,61,70,63.1111111111111,5.58022301426107,-6.88888888888889,5.58022301426107,14.2222222222222,"Reckless ,Inflexible,Selfishness,No,Selfish. Frugal. Uncaring"
"7","neglect",80,85,100,100,100,55,60,40,17,90,71.8888888888889,10.6996560173161,-8.11111111111111,10.6996560173161,24.7777777777778,"Reckless ,Inflexible,Selfishness,No,Selfish. Frugal. Uncaring"
"8","selfishness",70,92,100,100,100,85,50,10,21,90,72,12.6082810089243,2,12.6082810089243,30.6666666666667,"Reckless ,Inflexible,Selfishness,No,Selfish. Frugal. Uncaring"
"9","irresponsibility",90,100,10,100,100,80,70,20,24,100,67.1111111111111,13.6019810648629,-22.8888888888889,13.6019810648629,31.7777777777778,"Reckless ,Inflexible,Selfishness,No,Selfish. Frugal. Uncaring"
"10","lack of empathy",80,100,100,100,100,95,80,70,89,100,92.6666666666667,3.87701560481771,12.6666666666667,3.87701560481771,14.8888888888889,"Reckless ,Inflexible,Selfishness,No,Selfish. Frugal. Uncaring"
"11","unreliability",60,93,80,100,100,21,70,90,94,90,82,8.75892402067742,22,8.75892402067742,30.6666666666667,"Reckless ,Inflexible,Selfishness,No,Selfish. Frugal. Uncaring"
